N,bandwidth,r,r_frac_rayleigh,rayleigh_distance,gain_loss_conventional_db,gain_loss_nearfield_db,gain_loss_squint_db
8,10000000.0,0.005246368014999999,0.02,0.26231840074999996,10.638702646976462,2.5409239469801325e-07,10.638702671257557
8,10000000.0,0.0131159200375,0.05,0.26231840074999996,8.524591469932519,2.1874799264487047e-07,8.524592145543691
8,10000000.0,0.026231840075,0.1,0.26231840074999996,7.166547380781591,2.2023435871032187e-07,7.16654705326455
8,10000000.0,0.05246368015,0.2,0.26231840074999996,1.9450807305198017,2.6425920503139113e-07,1.9450804717729084
8,10000000.0,0.13115920037499998,0.5,0.26231840074999996,0.29976409441699275,2.909962913089685e-07,0.29976380740098096
8,10000000.0,0.26231840074999996,1.0,0.26231840074999996,0.07438443668478614,2.9567434478763294e-07,0.07438414211864261
8,10000000.0,0.5246368014999999,2.0,0.26231840074999996,0.018560059956396986,2.968824522266581e-07,0.01855976335809047
8,10000000.0,1.3115920037499997,5.0,0.26231840074999996,0.002968217337433701,2.972235521861415e-07,0.0029679201596625967
8,10000000.0,2.6231840074999995,10.0,0.26231840074999996,0.0007422185068771521,2.972723828327232e-07,0.0007419212459488122
8,10000000.0,5.246368014999999,20.0,0.26231840074999996,0.00018577391711961086,2.972845950749237e-07,0.00018547663538677727
8,100000000.0,0.005246368014999999,0.02,0.26231840074999996,10.638673936066018,2.5409133914325074e-05,10.638676364821503
8,100000000.0,0.0131159200375,0.05,0.26231840074999996,8.524550919107451,2.1874731416818134e-05,8.524618479175873
8,100000000.0,0.026231840075,0.1,0.26231840074999996,7.166554884046326,2.2023375468701726e-05,7.166522132448585
8,100000000.0,0.05246368015,0.2,0.26231840074999996,1.9451068276127836,2.642586956991504e-05,1.9450809529849342
8,100000000.0,0.13115920037499998,0.5,0.26231840074999996,0.29979280496241645,2.9099584706799942e-05,0.299764103408749
8,100000000.0,0.26231840074999996,1.0,0.26231840074999996,0.07441367855453959,2.95673910288044e-05,0.07438422198441068
8,100000000.0,0.5246368014999999,2.0,0.26231840074999996,0.018589443458530024,2.9688202105280426e-05,0.01855978367116953
8,100000000.0,1.3115920037499997,5.0,0.26231840074999996,0.0029976411592220666,2.97223123427713e-05,0.002967923425053921
8,100000000.0,2.6231840074999995,10.0,0.26231840074999996,0.000771648112567932,2.9727195404236207e-05,0.0007419220628424436
8,100000000.0,5.246368014999999,20.0,0.26231840074999996,0.00021520496972262588,2.9728416567142855e-05,0.00018547683964382637
8,400000000.0,0.005246368014999999,0.02,0.26231840074999996,10.63823895388785,0.0004065205499310333,10.638277970501322
8,400000000.0,0.0131159200375,0.05,0.26231840074999996,8.523936682269644,0.00034997926945378485,8.525017389120297
8,400000000.0,0.026231840075,0.1,0.26231840074999996,7.166668573339486,0.0003523593645851916,7.166144573555408
8,400000000.0,0.05246368015,0.2,0.26231840074999996,1.9455022232013621,0.00042280156447084603,1.9450882440968955
8,400000000.0,0.13115920037499998,0.5,0.26231840074999996,0.3002278017078749,0.00046558254784448454,0.29976858837364095
8,400000000.0,0.26231840074999996,1.0,0.26231840074999996,0.07485672647832514,0.0004730677336414424,0.0743854320717481
8,400000000.0,0.5246368014999999,2.0,0.26231840074999996,0.01903463754523244,0.0004750007851494249,0.01856009144503884
8,400000000.0,1.3115920037499997,5.0,0.26231840074999996,0.00344344621199411,0.0004755465699868458,0.0029679729006950794
8,400000000.0,2.6231840074999995,10.0,0.26231840074999996,0.0012175408091375183,0.0004756247019948813,0.0007419344399991117
8,400000000.0,5.246368014999999,20.0,0.26231840074999996,0.0006611195914631305,0.0004756442413646327,0.00018547993444833008
8,1000000000.0,0.005246368014999999,0.02,0.26231840074999996,10.635804150510591,0.00253985777907438,10.636053470799478
8,1000000000.0,0.0131159200375,0.05,0.26231840074999996,8.520502829159502,0.0021867953089622283,8.527248355193223
8,1000000000.0,0.026231840075,0.1,0.26231840074999996,7.167305353412729,0.002201733507690763,7.164031256610093
8,1000000000.0,0.05246368015,0.2,0.26231840074999996,1.9477159214430217,0.0026420775154102506,1.9451290750400725
8,1000000000.0,0.13115920037499998,0.5,0.26231840074999996,0.3026633840452981,0.002909512594606382,0.299793704131636
8,1000000000.0,0.26231840074999996,1.0,0.26231840074999996,0.07733742348894865,0.0029563049687201986,0.07439220855801354
8,1000000000.0,0.5246368014999999,2.0,0.26231840074999996,0.021527360621083676,0.002968389139856622,0.018561814978534
8,1000000000.0,1.3115920037499997,5.0,0.26231840074999996,0.005939592852420088,0.00297180103094176,0.002968249964279004
8,1000000000.0,2.6231840074999995,10.0,0.26231840074999996,0.003714178564072068,0.0029722894613983643,0.0007420037520862142
8,1000000000.0,5.246368014999999,20.0,0.26231840074999996,0.0031578802047128388,0.002972411608816417,0.00018549726535640277
8,2000000000.0,0.005246368014999999,0.02,0.26231840074999996,10.627123652532191,0.010146640822075307,10.628198367747315
8,2000000000.0,0.0131159200375,0.05,0.26231840074999996,8.508320030972214,0.008738967219530751,8.535175482387078
8,2000000000.0,0.026231840075,0.1,0.26231840074999996,7.169581227109578,0.008799611250073214,7.156497698884664
8,2000000000.0,0.05246368015,0.2,0.26231840074999996,1.955614820565181,0.010562131566607427,1.9452749097571254
8,2000000000.0,0.13115920037499998,0.5,0.26231840074999996,0.31135635520815397,0.011632641903955162,0.29988340263844426
8,2000000000.0,0.26231840074999996,1.0,0.26231840074999996,0.0861919074346717,0.011819953697329529,0.07441641025569726
8,2000000000.0,0.5246368014999999,2.0,0.26231840074999996,0.030424899444893395,0.011868327508093773,0.018567970452885822
8,2000000000.0,1.3115920037499997,5.0,0.26231840074999996,0.01484938854486117,0.011881985583024696,0.002969239477016081
8,2000000000.0,2.6231840074999995,10.0,0.26231840074999996,0.012625732521411477,0.011883940810512668,0.0007422512952525698
8,2000000000.0,5.246368014999999,20.0,0.26231840074999996,0.01206987401364796,0.011884429776755792,0.00018555916145348054
8,4000000000.0,0.005246368014999999,0.02,0.26231840074999996,10.592641664599284,0.04038222475048459,10.598139250966705
8,4000000000.0,0.0131159200375,0.05,0.26231840074999996,8.460829766749017,0.034824575382229044,8.566247969645755
8,4000000000.0,0.026231840075,0.1,0.26231840074999996,7.17871042189011,0.035081216614962336,7.126580532974871
8,4000000000.0,0.05246368015,0.2,0.26231840074999996,1.9870982408208633,0.04214946429149803,1.945858403544771
8,4000000000.0,0.13115920037499998,0.5,0.26231840074999996,0.34604148303160415,0.04644379726464824,0.3002421868390886
8,4000000000.0,0.26231840074999996,1.0,0.26231840074999996,0.12152916592797788,0.0471953192457243,0.07451321643730666
8,4000000000.0,0.5246368014999999,2.0,0.26231840074999996,0.06593601349125093,0.047389408146208956,0.018592592312523557
8,4000000000.0,1.3115920037499997,5.0,0.26231840074999996,0.05040999680923251,0.04744420852326789,0.002973197527000199
8,4000000000.0,2.6231840074999995,10.0,0.26231840074999996,0.048193440835107335,0.04745205351105845,0.0007432414678530641
8,4000000000.0,5.246368014999999,20.0,0.26231840074999996,0.04763935849338137,0.04745401539809707,0.00018580674583586307
16,10000000.0,0.024090465375,0.02,1.20452326875,12.594463224134193,9.049898586745046e-07,12.594462145242522
16,10000000.0,0.06022616343750001,0.05,1.20452326875,9.640017771361201,9.23913399339807e-07,9.640019143971447
16,10000000.0,0.12045232687500002,0.1,1.20452326875,6.3008671834264725,1.0944895634581298e-06,6.30086662513459
16,10000000.0,0.24090465375000003,0.2,1.20452326875,1.5219482534066386,1.1724854893957916e-06,1.5219471873682233
16,10000000.0,0.602261634375,0.5,1.20452326875,0.23772222346189278,1.1981978817847604e-06,0.23772104287291607
16,10000000.0,1.20452326875,1.0,1.20452326875,0.05921000565391911,1.202026223160297e-06,0.05920880805994128
16,10000000.0,2.4090465375,2.0,1.20452326875,0.014789441808407026,1.2029895484238796e-06,0.014788239928876285
16,10000000.0,6.02261634375,5.0,1.20452326875,0.0023666946121745002,1.203259728796973e-06,0.002365491530137329
16,10000000.0,12.0452326875,10.0,1.20452326875,0.0005925537366207298,1.2032983423866903e-06,0.0005913504827035435
16,10000000.0,24.090465375,20.0,1.20452326875,0.00014903951746103207,1.2033079962662834e-06,0.00014783622057077246
16,100000000.0,0.024090465375,0.02,1.20452326875,12.594416918317714,9.049780476010198e-05,12.594309037949902
16,100000000.0,0.06022616343750001,0.05,1.20452326875,9.63989984625689,9.239034501681815e-05,9.640037102265387
16,100000000.0,0.12045232687500002,0.1,1.20452326875,6.300905945456269,0.00010944812278124109,6.300850117475757
16,100000000.0,0.24090465375000003,0.2,1.20452326875,1.5220544482891039,0.00011724779659218422,1.5219478454450552
16,100000000.0,0.602261634375,0.5,1.20452326875,0.23783934238116688,0.00011981906391350014,0.23772128424966288
16,100000000.0,1.20452326875,1.0,1.20452326875,0.05932863124828467,0.00012020190232405381,0.05920887258102467
16,100000000.0,2.4090465375,2.0,1.20452326875,0.014908443545296263,0.00012029823591368784,0.014788256313900728
16,100000000.0,6.02261634375,5.0,1.20452326875,0.00248580164775375,0.00012032525425821172,0.0023654941630796155
16,100000000.0,12.0452326875,10.0,1.20452326875,0.0007116758142599581,0.00012032911562795093,0.0005913511413449825
16,100000000.0,24.090465375,20.0,1.20452326875,0.00026816535559063897,0.00012033008103282368,0.00014783638525493983
16,400000000.0,0.024090465375,0.02,1.20452326875,12.593715839496333,0.001447678563850858,12.591991884942184
16,400000000.0,0.06022616343750001,0.05,1.20452326875,9.638114236521208,0.001478004303280292,9.640309117311624
16,400000000.0,0.12045232687500002,0.1,1.20452326875,6.3014929707932605,0.0017509678383015436,6.30060001583796
16,400000000.0,0.24090465375000003,0.2,1.20452326875,1.523663219967968,0.0018757823665772738,1.5219578163035155
16,400000000.0,0.602261634375,0.5,1.20452326875,0.23961368581156267,0.0019169294314061733,0.2377249414721464
16,400000000.0,1.20452326875,1.0,1.20452326875,0.061125811713671076,0.0019230558684247747,0.05920985017309133
16,400000000.0,2.4090465375,2.0,1.20452326875,0.016711325319942454,0.0019245974636298137,0.014788504571797471
16,400000000.0,6.02261634375,5.0,1.20452326875,0.004290279469309806,0.001925029829452898,0.002365534056182593
16,400000000.0,12.0452326875,10.0,1.20452326875,0.0025163816333013617,0.0019250916217144595,0.0005913611207473601
16,400000000.0,24.090465375,20.0,1.20452326875,0.002072928173657242,0.0019251070707756621,0.00014783888048882342
16,1000000000.0,0.024090465375,0.02,1.20452326875,12.58980790580898,0.009037973683316256,12.57910739254027
16,1000000000.0,0.06022616343750001,0.05,1.20452326875,9.628154017953905,0.009229082867043301,9.64182961690222
16,1000000000.0,0.12045232687500002,0.1,1.20452326875,6.3047706814561275,0.010936470733508175,6.2991999459383035
16,1000000000.0,0.24090465375000003,0.2,1.20452326875,1.5326639582513657,0.011717252239309361,1.5220136530213682
16,1000000000.0,0.602261634375,0.5,1.20452326875,0.24954356792917434,0.011974658882937153,0.237745421884907
16,1000000000.0,1.20452326875,1.0,1.20452326875,0.07118388019909826,0.01201298488993005,0.05921532468651042
16,1000000000.0,2.4090465375,2.0,1.20452326875,0.02680139671427625,0.01202262887914425,0.014789894815885945
16,1000000000.0,6.02261634375,5.0,1.20452326875,0.014389309948084465,0.012025333696337025,0.0023657574575449807
