r1_frac_rayleigh,r2_frac_rayleigh,r1_m,r2_m,condition,gain_intended,gain_leaked,separation_db
0.02,0.04,112.050536170815,224.10107234163,conventional_narrowband,38748.28513859858,134239.56336717342,-5.39628043946593
0.02,0.04,112.050536170815,224.10107234163,conventional_wideband,47739.18813129037,77807.9988845172,-2.121492170225754
0.02,0.04,112.050536170815,224.10107234163,A_narrowband_nearfield,1048576.0,134030.14995390762,8.933974097971705
0.02,0.04,112.050536170815,224.10107234163,C_wideband_delay_only,1048551.5493143108,133490.90947433023,8.951380943656172
0.02,0.04,112.050536170815,224.10107234163,B_wideband_combined,1048576.0000000019,133489.91199125675,8.951514665458598
0.05,0.08,280.1263404270375,448.20214468326,conventional_narrowband,114439.96990740616,172045.97134479336,-1.7706677263570563
0.05,0.08,280.1263404270375,448.20214468326,conventional_wideband,79000.69518591948,79725.22218926155,-0.0396482528087328
0.05,0.08,280.1263404270375,448.20214468326,A_narrowband_nearfield,1048576.0,558918.8967762545,2.7325112013013833
0.05,0.08,280.1263404270375,448.20214468326,C_wideband_delay_only,1048572.0858622876,558955.8650810904,2.732207746052713
0.05,0.08,280.1263404270375,448.20214468326,B_wideband_combined,1048575.9999999993,558947.5358053627,2.7322886743169574
0.1,0.12,560.252680854075,672.3032170248899,conventional_narrowband,332737.1658111736,478953.6691205931,-1.5819219155014297
0.1,0.12,560.252680854075,672.3032170248899,conventional_wideband,79836.99765090931,79891.39378788619,-0.002958014267393837
0.1,0.12,560.252680854075,672.3032170248899,A_narrowband_nearfield,1048576.0,1017718.1731215977,0.12972383612410748
0.1,0.12,560.252680854075,672.3032170248899,C_wideband_delay_only,1048575.0213930883,1017704.7211761157,0.129777187315166
0.1,0.12,560.252680854075,672.3032170248899,B_wideband_combined,1048575.9999999978,1017705.1184876421,0.12977954498341712
