trial,k_db,gain_loss_conventional_db,gain_loss_nearfield_db,gain_loss_squint_db,gain_comb_absolute
0,-999,11.228371647177163,11.169040971349219,9.615401035659367,262144.00000000035
0,20,11.229238370691345,11.169544019319941,9.615259284822068,259545.86624103185
0,10,11.231096489571186,11.170615589680096,9.614941572303543,238290.6985107556
0,5,11.233184806266488,11.171808358012639,9.614561300740915,199115.22892314952
0,0,11.236828273943074,11.173858592275966,9.613836052731271,131008.43782770303
0,-5,11.243084910338958,11.177280105184252,9.61239146367459,62937.295391959255
1,-999,11.228371647177163,11.169040971349219,9.615401035659367,262144.00000000035
1,20,11.229259058427036,11.169202052032482,9.615449335000868,259548.52404267737
1,10,11.2311644076784,11.169536339374044,9.615544376541914,238312.80089722166
1,5,11.233310642597727,11.16989350423274,9.615636918650488,199163.2724572816
1,0,11.237068059119668,11.17046727766165,9.615760360160051,131072.34293847805
1,-5,11.243562033087208,11.171293464861554,9.615849816281361,62981.46414862817
2,-999,11.228371647177163,11.169040971349219,9.615401035659367,262144.00000000035
2,20,11.228785281019611,11.170104593440316,9.615359456369724,259548.53716180546
2,10,11.229655870952415,11.172381007632692,9.61525270155627,238312.9746475377
2,5,11.230607158464547,11.17493300280313,9.615103155352282,199163.83285241626
2,0,11.232194498292094,11.179368216281018,9.614763498082018,131073.6051657088
2,-5,11.234686941130189,11.186928514208844,9.613926444242228,62983.17686777789
3,-999,11.228371647177163,11.169040971349219,9.615401035659367,262144.00000000035
3,20,11.216391372652412,11.154035187317087,9.614857865135233,259634.25471498878
3,10,11.099832481530616,11.039132596658035,9.621699694265056,239083.46790411882
3,5,10.830313972012783,10.783715566677985,9.642720832324066,201161.93250057375
3,0,10.088277181483186,10.087161957669101,9.713889929888497,135166.45926070187
3,-5,8.45084965770919,8.539936994999026,9.937795439077943,69197.24108319986
4,-999,11.228371647177163,11.169040971349219,9.615401035659367,262144.00000000035
4,20,11.224831538859455,11.166789637403758,9.616154871209655,259548.24115938332
4,10,11.217058814219378,11.161786102692288,9.617710983510374,238305.8430937758
4,5,11.208016279494748,11.155866086135529,9.619359014093455,199136.57559956276
4,0,11.191425853216936,11.144749813277187,9.621964985223313,131008.79276491098
4,-5,11.16033064224436,11.123134952058834,9.625568738439211,62901.44018280648
5,-999,11.228371647177163,11.169040971349219,9.615401035659367,262144.00000000035
5,20,11.229100787123155,11.167861609290489,9.615663183326019,259551.5361052945
5,10,11.230297598716506,11.164745736741455,9.616002900601341,238335.6460943497
5,5,11.231027152885385,11.160259368272952,9.616011427097696,199207.98773706268
5,0,11.230658998709867,11.149819012401075,9.615031741505582,131121.98968175618
5,-5,11.224739218777389,11.123534964441612,9.610145761953863,63008.1820774352
6,-999,11.228371647177163,11.169040971349219,9.615401035659367,262144.00000000035
6,20,11.230205911301287,11.17087209264848,9.615557317002805,259549.05163946628
6,10,11.234153311290973,11.174812658753353,9.615880615737861,238317.36127642886
6,5,11.238614948615194,11.179266454049623,9.61622425635176,199173.63940957142
6,0,11.246466185113725,11.18710357801196,9.616771306268014,131087.30288933005
6,-5,11.26016424900136,11.20077601743719,9.61754152240243,62993.47424276191
7,-999,11.228371647177163,11.169040971349219,9.615401035659367,262144.00000000035
7,20,11.228322688083011,11.168993390275414,9.615408004545428,259548.9456591662
7,10,11.228172190908525,11.168844616261595,9.61539121648013,238316.62485300066
7,5,11.227926626332184,11.168598922229053,9.615319096958157,199172.44845988398
7,0,11.227294684647033,11.16796125331927,9.61505145064671,131086.87941802925
7,-5,11.225553886781178,11.166192903325003,9.614134858474992,62995.072301323016
